#datetime,distance[cm]
2022-07-08T17:49:46.408539,63.1
2022-07-08T17:49:47.729579,62.6
2022-07-08T17:49:49.051427,62.5
2022-07-08T17:49:50.372019,62.4
2022-07-08T17:49:51.692684,62.4
2022-07-08T17:49:53.014323,62.4
2022-07-08T17:49:54.335090,62.2
2022-07-08T17:49:55.655886,62.2
2022-07-08T17:49:56.976613,62.3
2022-07-08T17:49:58.298117,62.5
2022-07-08T17:49:59.618662,61.7
2022-07-08T17:50:00.939233,62.0
2022-07-08T17:50:02.261276,62.3
2022-07-08T17:50:03.581915,62.2
2022-07-08T17:50:04.902541,62.2
2022-07-08T17:50:06.223116,62.4
2022-07-08T17:50:07.544401,62.4
2022-07-08T17:50:08.864954,62.1
2022-07-08T17:50:10.185450,62.1
2022-07-08T17:50:11.506890,62.3
2022-07-08T17:50:12.829762,61.9
2022-07-08T17:50:14.150356,61.9
2022-07-08T17:50:15.471069,62.9
2022-07-08T17:50:16.792441,61.9
2022-07-08T17:50:18.113025,61.9
2022-07-08T17:50:19.433622,61.9
2022-07-08T17:50:20.754783,61.9
2022-07-08T17:50:22.076814,61.9
2022-07-08T17:50:23.397352,62.0
2022-07-08T17:50:24.717921,62.2
2022-07-08T17:50:26.039056,62.3
2022-07-08T17:50:27.359720,62.3
2022-07-08T17:50:28.680484,62.0
2022-07-08T17:50:30.002154,62.0
2022-07-08T17:50:31.323207,61.9
2022-07-08T17:50:32.643994,60.9
2022-07-08T17:50:33.964494,61.9
2022-07-08T17:50:35.286371,62.3
2022-07-08T17:50:36.606898,62.2
2022-07-08T17:50:37.927550,61.7
2022-07-08T17:50:39.249368,62.2
2022-07-08T17:50:40.570645,62.0
2022-07-08T17:50:41.891139,62.0
2022-07-08T17:50:43.212266,62.1
2022-07-08T17:50:44.533431,61.9
2022-07-08T17:50:45.853881,61.9
2022-07-08T17:50:47.174602,62.3
2022-07-08T17:50:48.495249,62.3
2022-07-08T17:50:49.816448,62.3
2022-07-08T17:50:51.137156,62.3
2022-07-08T17:50:52.457792,62.3
2022-07-08T17:50:53.779417,62.2
2022-07-08T17:50:55.099944,62.2
2022-07-08T17:50:56.420527,62.3
2022-07-08T17:50:57.741443,61.8
2022-07-08T17:50:59.062830,62.2
2022-07-08T17:51:00.383268,62.3
2022-07-08T17:51:01.703883,62.3
2022-07-08T17:51:03.025826,62.2
2022-07-08T17:51:04.346492,62.3
2022-07-08T17:51:05.667181,62.7
2022-07-08T17:51:06.988417,62.8
2022-07-08T17:51:08.310149,62.3
2022-07-08T17:51:09.630897,62.2
2022-07-08T17:51:10.951540,62.3
2022-07-08T17:51:12.272828,62.3
2022-07-08T17:51:13.593383,62.3
2022-07-08T17:51:14.913926,62.2
2022-07-08T17:51:16.234497,62.2
2022-07-08T17:51:17.556177,62.2
2022-07-08T17:51:18.876897,62.5
2022-07-08T17:51:20.197486,62.3
2022-07-08T17:51:21.518923,62.0
2022-07-08T17:51:22.839845,61.8
2022-07-08T17:51:24.160410,61.8
2022-07-08T17:51:25.481016,61.9
2022-07-08T17:51:26.802362,62.0
2022-07-08T17:51:28.122862,62.0
2022-07-08T17:51:29.443535,61.7
2022-07-08T17:51:30.765064,62.3
2022-07-08T17:51:32.087481,62.2
2022-07-08T17:51:33.408071,62.1
2022-07-08T17:51:34.728613,62.1
2022-07-08T17:51:36.049702,61.8
2022-07-08T17:51:37.370211,61.8
2022-07-08T17:51:38.690705,61.9
2022-07-08T17:51:40.012405,61.9
2022-07-08T17:51:41.333394,62.0
2022-07-08T17:51:42.653898,62.2
2022-07-08T17:51:43.974530,62.2
2022-07-08T17:51:45.295847,62.3
2022-07-08T17:51:46.616520,62.0
2022-07-08T17:51:47.937076,62.0
2022-07-08T17:51:49.257656,62.2
2022-07-08T17:51:50.578209,62.1
2022-07-08T17:51:51.898661,62.3
2022-07-08T17:51:53.219242,62.3
2022-07-08T17:51:54.539885,62.2
2022-07-08T17:51:55.860377,62.2
2022-07-08T17:51:57.180939,62.3
2022-07-08T17:51:58.501484,62.1
2022-07-08T17:51:59.822112,62.2
2022-07-08T17:52:01.142816,62.2
2022-07-08T17:52:02.463589,62.2
2022-07-08T17:52:03.784078,62.2
2022-07-08T17:52:05.104551,62.1
2022-07-08T17:52:06.425015,61.9
2022-07-08T17:52:07.746054,62.2
